transaction_id,transaction_date,transaction_time,transaction_subtotal,transaction_tax_percent,transaction_tax_amount,transaction_total,product_id,product_desc,product_code,product_qty,product_price,product_tax_id
3704187,01/01/17, 0:00 am,-30.00,9.25,0.0,-30.00,3672,lotto/ MISC NON TAX,3,-70,1.00,N
3704187,01/01/17, 0:00 am,-30.00,9.25,0.0,-30.00,3687,lotto,20,1,20.00,N
3704187,01/01/17, 0:00 am,-30.00,9.25,0.0,-30.00,3665,lottMISC NON TAX /LOTTO,10,1,10.00,N
3704187,01/01/17, 0:00 am,-30.00,9.25,0.0,-30.00,3665,lottMISC NON TAX /LOTTO,10,1,10.00,N
3704188,01/01/17, 0:01 am,13.99,9.25,2.29,16.28,3975,coors light 18 p,071990300173,1,13.99,5
3704189,01/01/17, 0:01 am,9.74,9.25,0.0,9.74,1607,sobe lava,739510100701,1,1.75,N
3704189,01/01/17, 0:01 am,9.74,9.25,0.0,9.74,16929,RIPS,048014004157,1,2.99,N
3704189,01/01/17, 0:01 am,9.74,9.25,0.0,9.74,3664,MISC NON TAX /LOTTO $5,5,1,5.00,N
3704190,01/01/17, 0:03 am,9.29,9.25,1.19,10.48,732,corona extra 12 oz 6 pack,080660956053,1,9.29,2
3704191,01/01/17, 0:04 am,0.00,9.25,0.0,0.00,3672,lotto/ MISC NON TAX,3,-5,1.00,N
3704191,01/01/17, 0:04 am,0.00,9.25,0.0,0.00,3664,MISC NON TAX /LOTTO $5,5,1,5.00,N
3704193,01/01/17, 0:19 am,5.00,9.25,0.0,5.00,3664,MISC NON TAX /LOTTO $5,5,1,5.00,N
3704194,01/01/17, 0:20 am,22.91,9.25,0.59,23.50,8424,marlboro lig   men,283842,1,6.41,T
3704194,01/01/17, 0:20 am,22.91,9.25,0.59,23.50,3223,PRINGLES CHEESE,038000844980,1,2.50,N
3704194,01/01/17, 0:20 am,22.91,9.25,0.59,23.50,3689,misc non tax,1,1,4.00,N
3704194,01/01/17, 0:20 am,22.91,9.25,0.59,23.50,3665,lottMISC NON TAX /LOTTO,10,1,10.00,N
3704195,01/01/17, 0:22 am,16.26,9.25,1.61,17.87,17277,16.9 OZ COKE PLUS 5C CRV,049000024685,1,1.05,T
3704195,01/01/17, 0:22 am,16.26,9.25,1.61,17.87,7488,rock star,818094000147,1,2.99,1
3704195,01/01/17, 0:22 am,16.26,9.25,1.61,17.87,17383,JACK DANIELS,082184090503,1,11.99,T
3704195,01/01/17, 0:22 am,16.26,9.25,1.61,17.87,14302,REUSABLE BAG,56,1,0.23,T
3704196,01/01/17, 0:25 am,10.22,9.25,0.95,11.17,191,SKYY VODKA 375,721059003759,1,9.99,T
3704196,01/01/17, 0:25 am,10.22,9.25,0.95,11.17,14302,REUSABLE BAG,56,1,0.23,T
3704197,01/01/17, 0:31 am,1.00,9.25,0.0,1.00,7667,coffee 8oz,31,1,1.00,N
3704198,01/01/17, 0:31 am,76.70,9.25,7.42,84.12,8057,buchanans 18 years,088110955342,1,69.99,T
3704198,01/01/17, 0:31 am,76.70,9.25,7.42,84.12,12122,sparkling mineral water,654871000418,1,1.74,1
3704198,01/01/17, 0:31 am,76.70,9.25,7.42,84.12,12122,sparkling mineral water,654871000418,1,1.74,1
3704198,01/01/17, 0:31 am,76.70,9.25,7.42,84.12,17832,rockstar punched 2 for $3.00,818094003001,1,3.00,1
3704198,01/01/17, 0:31 am,76.70,9.25,7.42,84.12,14302,REUSABLE BAG,56,1,0.23,T
3704199,01/01/17, 0:34 am,6.41,9.25,0.59,7.00,14996,camel crush,012300197410,1,6.41,T
3704200,01/01/17, 0:37 am,25.71,9.25,3.03,28.74,6812,modelo 12 pac,080660957579,1,16.49,3
3704200,01/01/17, 0:37 am,25.71,9.25,3.03,28.74,2092,SUTTERHOME CHARDONNAY,850562,1,8.99,T
3704200,01/01/17, 0:37 am,25.71,9.25,3.03,28.74,14302,REUSABLE BAG,56,1,0.23,T
3704201,01/01/17, 0:38 am,4.00,9.25,0.09,4.09,1585,starburst fru chews,400510,1,1.00,N
3704201,01/01/17, 0:38 am,4.00,9.25,0.09,4.09,15471,SWISHER SWEETS,025900227265,1,1.00,T
3704201,01/01/17, 0:38 am,4.00,9.25,0.09,4.09,3672,lotto/ MISC NON TAX,3,1,1.00,N
3704201,01/01/17, 0:38 am,4.00,9.25,0.09,4.09,3672,lotto/ MISC NON TAX,3,1,1.00,N
3704202,01/01/17, 0:45 am,47.62,9.25,4.4,52.02,9527,americanspritnatural,047995855253,1,7.23,T
3704202,01/01/17, 0:45 am,47.62,9.25,4.4,52.02,10947,jameson,080432500149,1,15.99,T
3704202,01/01/17, 0:45 am,47.62,9.25,4.4,52.02,8424,marlboro lig   men,283842,1,6.41,T
3704202,01/01/17, 0:45 am,47.62,9.25,4.4,52.02,2081,BRUT CHANDON,085155000013,1,17.99,T
3704203,01/01/17, 0:48 am,11.99,9.25,0.55,12.54,16514,HEMP2O,865324000118,1,3.00,N
3704203,01/01/17, 0:48 am,11.99,9.25,0.55,12.54,16514,HEMP2O,865324000118,1,3.00,N
3704203,01/01/17, 0:48 am,11.99,9.25,0.55,12.54,15654,AXE SPRAY,079400553003,1,5.99,T
3704204,01/01/17, 0:51 am,16.49,9.25,2.18,18.67,703,Corona 12oz LN btls 12pk,080660956152,1,16.49,3
3704205,01/01/17, 0:51 am,10.00,9.25,0.0,10.00,3665,lottMISC NON TAX /LOTTO,10,1,10.00,N
3704206,01/01/17, 0:53 am,2.00,9.25,0.0,2.00,3689,misc non tax,1,1,2.00,N
3704207,01/01/17, 0:54 am,30.40,9.25,3.81,34.21,10873,corona 18pk,080660956800,1,23.99,5
3704207,01/01/17, 0:54 am,30.40,9.25,3.81,34.21,8439,marlboro,284012,1,6.41,T
3704208,01/01/17, 0:57 am,9.40,9.25,1.2,10.60,5689,canada dry 6pack,781140,1,2.99,2
3704208,01/01/17, 0:57 am,9.40,9.25,1.2,10.60,9119,pall mall,278512,0,6.19,T
3704208,01/01/17, 0:57 am,9.40,9.25,1.2,10.60,8424,marlboro lig   men,283842,1,6.41,T
3704209,01/01/17, 0:58 am,29.99,9.25,4.41,34.40,16297,modelo 24pack,080660957760,1,29.99,4
3704210,01/01/17, 0:58 am,4.00,9.25,0.0,4.00,3689,misc non tax,1,1,4.00,N
3704211,01/01/17, 1:03 am,13.02,9.25,0.0,13.02,13800,CHIPS,149,1,1.49,N
3704211,01/01/17, 1:03 am,13.02,9.25,0.0,13.02,3689,misc non tax,1,1,4.29,N
3704211,01/01/17, 1:03 am,13.02,9.25,0.0,13.02,0,,052000010381,1,4.00,
3704211,01/01/17, 1:03 am,13.02,9.25,0.0,13.02,13800,CHIPS,149,1,1.49,N
3704211,01/01/17, 1:03 am,13.02,9.25,0.0,13.02,14754,cup cakes,888109010010,1,1.75,N
3704212,01/01/17, 6:28 am,6.41,9.25,0.59,7.00,8713,camel lights,123073,1,6.41,T
3704213,01/01/17, 6:46 am,5.18,9.25,0.29,5.47,17386,JOSE CUERVO,811538010948,1,1.59,T
3704213,01/01/17, 6:46 am,5.18,9.25,0.29,5.47,17386,JOSE CUERVO,811538010948,1,1.59,T
3704213,01/01/17, 6:46 am,5.18,9.25,0.29,5.47,3672,lotto/ MISC NON TAX,3,1,1.00,N
3704213,01/01/17, 6:46 am,5.18,9.25,0.29,5.47,3672,lotto/ MISC NON TAX,3,1,1.00,N
3764451,01/01/17, 6:51 am,1.50,9.25,0.14,1.64,12530,taxable item,2,1,0.00,T
3764451,01/01/17, 6:51 am,1.50,9.25,0.14,1.64,16172,news papper,768805151005,1,1.50,T
3704214,01/01/17, 6:51 am,16.93,9.25,0.99,17.92,17164,hostess,888109050054,1,1.75,N
3704214,01/01/17, 6:51 am,16.93,9.25,0.99,17.92,17641,ALPO,011132896324,1,1.69,T
3704214,01/01/17, 6:51 am,16.93,9.25,0.99,17.92,17628,STARBUCKS COFFEE 9.5 OZ,123550,1,2.25,N
3704214,01/01/17, 6:51 am,16.93,9.25,0.99,17.92,17628,STARBUCKS COFFEE 9.5 OZ,123550,1,2.25,N
3704214,01/01/17, 6:51 am,16.93,9.25,0.99,17.92,17253,TITOS 200 ML,619947000044,1,8.99,T
3764452,01/01/17, 6:51 am,-1200.00,9.25,-111.0,-1311.00,12530,taxable item,2,-1,1200.00,T
3704215,01/01/17, 7:08 am,10.50,9.25,0.76,11.26,13050,libi xtreme,705105830735,0,8.99,T
3704215,01/01/17, 7:08 am,10.50,9.25,0.76,11.26,17491,RED BULL 8.4 OZ 2 FOR 4.00,611269991000,1,4.00,1
3704215,01/01/17, 7:08 am,10.50,9.25,0.76,11.26,14755,hosstes,888109050023,1,1.75,N
3704215,01/01/17, 7:08 am,10.50,9.25,0.76,11.26,14755,hosstes,888109050023,1,1.75,N
3704215,01/01/17, 7:08 am,10.50,9.25,0.76,11.26,12530,taxable item,2,1,3.00,T
3704216,01/01/17, 7:33 am,10.72,9.25,0.81,11.53,12923,sutter 4 pk,085200718740,1,5.49,T
3704216,01/01/17, 7:33 am,10.72,9.25,0.81,11.53,2912,San Francisco Chronicle,738805300017,1,3.00,T
3704216,01/01/17, 7:33 am,10.72,9.25,0.81,11.53,3689,misc non tax,1,1,2.00,N
3704216,01/01/17, 7:33 am,10.72,9.25,0.81,11.53,14302,REUSABLE BAG,56,1,0.23,T
3704217,01/01/17, 7:40 am,4.00,9.25,0.39,4.39,16387,MONSTER UNLEADED,070847020608,1,3.00,1
3704217,01/01/17, 7:40 am,4.00,9.25,0.39,4.39,7667,coffee 8oz,31,1,1.00,N
3704218,01/01/17, 7:46 am,15.49,9.25,2.29,17.78,3976,coors original 18 p,071990100209,1,13.99,5
3704218,01/01/17, 7:46 am,15.49,9.25,2.29,17.78,1316,gatorade lemon lime 20 oz,052000328684,1,1.50,N
3704219,01/01/17, 7:49 am,3.99,9.25,0.0,3.99,5823,gold medal all purpose,016000106109,1,3.99,N
3704220,01/01/17, 7:50 am,1.00,9.25,0.2,1.20,858,OLD ENG 16 OZ SING CAN,346081,1,1.00,1
3704222,01/01/17, 7:57 am,2.00,9.25,0.0,2.00,3672,lotto/ MISC NON TAX,3,1,1.00,N
3704222,01/01/17, 7:57 am,2.00,9.25,0.0,2.00,3672,lotto/ MISC NON TAX,3,1,1.00,N
3704223,01/01/17, 7:59 am,2.97,9.25,0.27,3.24,17387,E&J 50 ML,085000003404,1,0.99,T
3704223,01/01/17, 7:59 am,2.97,9.25,0.27,3.24,17387,E&J 50 ML,085000003404,1,0.99,T
3704223,01/01/17, 7:59 am,2.97,9.25,0.27,3.24,17387,E&J 50 ML,085000003404,1,0.99,T
3704224,01/01/17, 8:01 am,13.28,9.25,1.23,14.51,4950,bag of pure ice,25,1,2.29,T
3704224,01/01/17, 8:01 am,13.28,9.25,1.23,14.51,4950,bag of pure ice,25,1,2.29,T
3704224,01/01/17, 8:01 am,13.28,9.25,1.23,14.51,8424,marlboro lig   men,283842,1,6.41,T
3704224,01/01/17, 8:01 am,13.28,9.25,1.23,14.51,1215,zigzag orange,086624,1,2.29,T
3704225,01/01/17, 8:02 am,1.99,9.25,0.0,1.99,17691,RICE,017400105501,1,1.99,N
3704226,01/01/17, 8:23 am,4.99,9.25,0.46,5.45,12530,taxable item,2,1,4.99,T
3704227,01/01/17, 8:26 am,7.98,9.25,0.74,8.72,10023,grizzly,428711,1,3.99,T
3704227,01/01/17, 8:26 am,7.98,9.25,0.74,8.72,10023,grizzly,428711,1,3.99,T
3704228,01/01/17, 8:32 am,10.70,9.25,0.99,11.69,7501,bandits,731901,1,5.35,T
3704228,01/01/17, 8:32 am,10.70,9.25,0.99,11.69,7501,bandits,731901,1,5.35,T
3704229,01/01/17, 8:33 am,10.05,9.25,1.15,11.20,743,modello 6 pack can,080660957555,1,7.85,2
3704229,01/01/17, 8:33 am,10.05,9.25,1.15,11.20,1669,Clamato tomato cocktail,014800511758,1,2.20,C
3704230,01/01/17, 8:36 am,1.98,9.25,0.18,2.16,17387,E&J 50 ML,085000003404,1,0.99,T
3704230,01/01/17, 8:36 am,1.98,9.25,0.18,2.16,17387,E&J 50 ML,085000003404,1,0.99,T
3704231,01/01/17, 8:37 am,2.30,9.25,0.21,2.51,442,ROYAL GATE VODKA 200,083840301087,1,2.30,T
3704232,01/01/17, 8:38 am,3.80,9.25,0.31,4.11,3809,v8 splash strawberry,051000146557,1,1.50,C
3704232,01/01/17, 8:38 am,3.80,9.25,0.31,4.11,442,ROYAL GATE VODKA 200,083840301087,1,2.30,T
3704233,01/01/17, 8:51 am,5.20,9.25,0.48,5.68,2912,San Francisco Chronicle,738805300017,1,3.00,T
3704233,01/01/17, 8:51 am,5.20,9.25,0.48,5.68,13143,paul masson,021296600316,1,1.10,T
3704233,01/01/17, 8:51 am,5.20,9.25,0.48,5.68,13143,paul masson,021296600316,1,1.10,T
3704234,01/01/17, 8:54 am,4.99,9.25,0.46,5.45,12530,taxable item,2,1,4.99,T
3704236,01/01/17, 9:11 am,3.25,9.25,0.0,3.25,5075,banana nut muffin,035751113044,1,1.75,N
3704236,01/01/17, 9:11 am,3.25,9.25,0.0,3.25,11780,coffee,30,1,1.50,N
3704238,01/01/17, 9:18 am,6.36,9.25,0.59,6.95,17386,JOSE CUERVO,811538010948,4,1.59,T
3704239,01/01/17, 9:21 am,14.67,9.25,1.36,16.03,6636,pedigree,023100010274,1,1.69,T
3704239,01/01/17, 9:21 am,14.67,9.25,1.36,16.03,17031,SMIRNOFF 100 ML,820240,1,2.99,T
3704239,01/01/17, 9:21 am,14.67,9.25,1.36,16.03,0,859654002003,9812674002003,1,0.00,
3704239,01/01/17, 9:21 am,14.67,9.25,1.36,16.03,14615,BLU,859654002003,1,9.99,T
