trans_id,trans_date,trans_time,subtotal,tax_rate,tax_amt,total
3704187,01/01/17, 0:00 am,-30.00,9.25,0.00,-30.00
3704188,01/01/17, 0:01 am,13.99,9.25,2.29,16.28
3704189,01/01/17, 0:01 am,9.74,9.25,0.00,9.74
3704190,01/01/17, 0:03 am,9.29,9.25,1.19,10.48
3704191,01/01/17, 0:04 am,0.00,9.25,0.00,0.00
3704192,01/01/17, 0:19 am,5.00,9.25,0.00,5.00
3704194,01/01/17, 0:20 am,22.91,9.25,0.59,23.50
3704195,01/01/17, 0:22 am,16.26,9.25,1.61,17.87
3704196,01/01/17, 0:25 am,10.22,9.25,0.95,11.17
3704197,01/01/17, 0:31 am,1.00,9.25,0.00,1.00
3704198,01/01/17, 0:31 am,76.70,9.25,7.42,84.12
3704199,01/01/17, 0:34 am,6.41,9.25,0.59,7.00
3704200,01/01/17, 0:37 am,25.71,9.25,3.03,28.74
3704201,01/01/17, 0:38 am,4.00,9.25,0.09,4.09
3704202,01/01/17, 0:45 am,47.62,9.25,4.40,52.02
3704203,01/01/17, 0:48 am,11.99,9.25,0.55,12.54
3704204,01/01/17, 0:51 am,16.49,9.25,2.18,18.67
3704205,01/01/17, 0:51 am,10.00,9.25,0.00,10.00
3704206,01/01/17, 0:53 am,2.00,9.25,0.00,2.00
3704207,01/01/17, 0:54 am,30.40,9.25,3.81,34.21
3704208,01/01/17, 0:57 am,9.40,9.25,1.20,10.60
3704209,01/01/17, 0:58 am,29.99,9.25,4.41,34.40
3704210,01/01/17, 0:58 am,4.00,9.25,0.00,4.00
3704211,01/01/17, 1:03 am,13.02,9.25,0.00,13.02
3704212,01/01/17, 6:28 am,6.41,9.25,0.59,7.00
3704213,01/01/17, 6:46 am,5.18,9.25,0.29,5.47
3764451,01/01/17, 6:51 am,1.50,9.25,0.14,1.64
3704214,01/01/17, 6:51 am,16.93,9.25,0.99,17.92
3764452,01/01/17, 6:51 am,-1200.00,9.25,-111.00,-1311.00
3704215,01/01/17, 7:08 am,10.50,9.25,0.76,11.26
3704216,01/01/17, 7:33 am,10.72,9.25,0.81,11.53
3704217,01/01/17, 7:40 am,4.00,9.25,0.39,4.39
3704218,01/01/17, 7:46 am,15.49,9.25,2.29,17.78
3704219,01/01/17, 7:49 am,3.99,9.25,0.00,3.99
3704220,01/01/17, 7:50 am,1.00,9.25,0.20,1.20
3704221,01/01/17, 7:55 am,2.00,9.25,0.00,2.00
3704223,01/01/17, 7:59 am,2.97,9.25,0.27,3.24
3704224,01/01/17, 8:01 am,13.28,9.25,1.23,14.51
3704225,01/01/17, 8:02 am,1.99,9.25,0.00,1.99
3704226,01/01/17, 8:23 am,4.99,9.25,0.46,5.45
3704227,01/01/17, 8:26 am,7.98,9.25,0.74,8.72
3704228,01/01/17, 8:32 am,10.70,9.25,0.99,11.69
3704229,01/01/17, 8:33 am,10.05,9.25,1.15,11.20
3704230,01/01/17, 8:36 am,1.98,9.25,0.18,2.16
3704231,01/01/17, 8:37 am,2.30,9.25,0.21,2.51
3704232,01/01/17, 8:38 am,3.80,9.25,0.31,4.11
3704233,01/01/17, 8:51 am,5.20,9.25,0.48,5.68
3704234,01/01/17, 8:54 am,4.99,9.25,0.46,5.45
3704235,01/01/17, 8:57 am,3.25,9.25,0.00,3.25
3704237,01/01/17, 9:18 am,6.36,9.25,0.59,6.95
3704239,01/01/17, 9:21 am,14.67,9.25,1.36,16.03
3704240,01/01/17, 9:22 am,4.56,9.25,0.53,5.09
3704241,01/01/17, 9:24 am,12.57,9.25,0.75,13.32
3704242,01/01/17, 9:27 am,3.74,9.25,0.00,3.74
3704243,01/01/17, 9:28 am,15.73,9.25,0.74,16.47
3704244,01/01/17, 9:29 am,10.93,9.25,1.12,12.05
3704245,01/01/17, 9:32 am,5.37,9.25,0.61,5.98
3704246,01/01/17, 9:33 am,16.99,9.25,1.29,18.28
3704247,01/01/17, 9:34 am,17.41,9.25,0.59,18.00
3704248,01/01/17, 9:37 am,10.98,9.25,0.96,11.94
3704249,01/01/17, 9:38 am,18.99,9.25,1.76,20.75
3704250,01/01/17, 9:43 am,12.00,9.25,0.00,12.00
3704251,01/01/17, 9:43 am,3.00,9.25,0.00,3.00
3704252,01/01/17, 9:45 am,4.00,9.25,0.00,4.00
3704253,01/01/17, 9:45 am,3.50,9.25,0.00,3.50
3704254,01/01/17, 9:48 am,6.59,9.25,0.42,7.01
3704255,01/01/17, 9:48 am,1.59,9.25,0.15,1.74
3704256,01/01/17, 9:51 am,29.97,9.25,4.74,34.71
3704257,01/01/17, 9:52 am,3.98,9.25,0.37,4.35
3704258,01/01/17, 9:54 am,10.99,9.25,0.55,11.54
3704259,01/01/17, 9:56 am,6.63,9.25,0.56,7.19
3704260,01/01/17, 9:57 am,17.99,9.25,1.58,19.57
3704261,01/01/17, 9:58 am,19.39,9.25,1.15,20.54
3704262,01/01/17, 9:59 am,17.22,9.25,1.59,18.81
3704263,01/01/17,10:04 am,26.99,9.25,4.14,31.13
3704264,01/01/17,10:05 am,5.20,9.25,0.70,5.90
3704266,01/01/17,10:09 am,1.49,9.25,0.25,1.74
3704268,01/01/17,10:28 am,7.57,9.25,1.36,8.93
3704269,01/01/17,10:28 am,10.99,9.25,0.46,11.45
3704270,01/01/17,10:30 am,24.47,9.25,1.76,26.23
3704271,01/01/17,10:38 am,7.39,9.25,0.91,8.30
3704272,01/01/17,10:39 am,7.80,9.25,0.56,8.36
3704273,01/01/17,10:49 am,5.83,9.25,0.42,6.25
3704275,01/01/17,11:17 am,17.93,9.25,2.04,19.97
3704276,01/01/17,11:18 am,4.50,9.25,0.63,5.13
3704277,01/01/17,11:25 am,2.99,9.25,0.39,3.38
3704278,01/01/17,11:27 am,21.34,9.25,1.92,23.26
3704279,01/01/17,11:27 am,4.59,9.25,0.42,5.01
3704280,01/01/17,11:37 am,7.00,9.25,0.00,7.00
3704281,01/01/17,11:38 am,17.24,9.25,2.13,19.37
3704282,01/01/17,11:41 am,14.72,9.25,1.25,15.97
3704283,01/01/17,11:44 am,3.99,9.25,0.37,4.36
3704284,01/01/17,11:45 am,3.63,9.25,0.74,4.37
3704285,01/01/17,11:50 am,16.48,9.25,0.82,17.30
3704286,01/01/17,11:55 am,12.50,9.25,0.85,13.35
3704287,01/01/17,12:08 pm,17.00,9.25,0.00,17.00
3704288,01/01/17,12:19 pm,4.00,9.25,0.00,4.00
3704289,01/01/17,12:23 pm,6.38,9.25,0.36,6.74
3704290,01/01/17,12:28 pm,1.73,9.25,0.27,2.00
3704291,01/01/17,12:32 pm,3.00,9.25,0.20,3.20
3704292,01/01/17,12:33 pm,10.06,9.25,0.94,11.00
3704293,01/01/17,12:41 pm,7.98,9.25,0.96,8.94
3704295,01/01/17,12:45 pm,3.00,9.25,0.00,3.00
3704296,01/01/17,12:45 pm,0.23,9.25,0.02,0.25
3704297,01/01/17,12:46 pm,3.68,9.25,0.34,4.02
3704298,01/01/17,12:46 pm,3.19,9.25,0.18,3.37
3704299,01/01/17,12:49 pm,3.59,9.25,0.15,3.74
3704300,01/01/17,12:56 pm,33.13,9.25,2.83,35.96
3704301,01/01/17, 1:10 pm,8.99,9.25,0.84,9.83
3704302,01/01/17, 1:11 pm,73.21,9.25,6.77,79.98
3704303,01/01/17, 1:12 pm,2.00,9.25,0.00,2.00
3704304,01/01/17, 1:18 pm,2.97,9.25,0.27,3.24
3704305,01/01/17, 1:18 pm,12.40,9.25,1.47,13.87
3704306,01/01/17, 1:20 pm,4.00,9.25,0.00,4.00
3704307,01/01/17, 1:21 pm,15.29,9.25,1.98,17.27
3704308,01/01/17, 1:25 pm,0.99,9.25,0.10,1.09
3704309,01/01/17, 1:26 pm,1.00,9.25,0.09,1.09
3704310,01/01/17, 1:34 pm,9.41,9.25,0.93,10.34
3704311,01/01/17, 1:36 pm,17.94,9.25,1.66,19.60
3704312,01/01/17, 1:37 pm,2.50,9.25,0.00,2.50
3704313,01/01/17, 1:40 pm,2.25,9.25,0.32,2.57
3704314,01/01/17, 1:44 pm,6.49,9.25,0.55,7.04
3704315,01/01/17, 1:45 pm,8.99,9.25,1.16,10.15
3704316,01/01/17, 1:49 pm,8.00,9.25,0.00,8.00
