trans_id,trans_date,trans_time,sale_id,product_desc,product_code,product_qty,product_price,product_tax_id
3704187,01/01/17, 0:00 am,3672,lotto/ MISC NON TAX,3,-70,1.00,N
3704187,01/01/17, 0:00 am,3687,lotto,20,1,20.00,N
3704187,01/01/17, 0:00 am,3665,lottMISC NON TAX /LOTTO,10,1,10.00,N
3704187,01/01/17, 0:00 am,3665,lottMISC NON TAX /LOTTO,10,1,10.00,N
3704188,01/01/17, 0:01 am,3975,coors light 18 p,071990300173,1,13.99,5
3704189,01/01/17, 0:01 am,1607,sobe lava,739510100701,1,1.75,N
3704189,01/01/17, 0:01 am,16929,RIPS,048014004157,1,2.99,N
3704189,01/01/17, 0:01 am,3664,MISC NON TAX /LOTTO $5,5,1,5.00,N
3704190,01/01/17, 0:03 am,732,corona extra 12 oz 6 pack,080660956053,1,9.29,2
3704191,01/01/17, 0:04 am,3672,lotto/ MISC NON TAX,3,-5,1.00,N
3704191,01/01/17, 0:04 am,3664,MISC NON TAX /LOTTO $5,5,1,5.00,N
3704192,01/01/17, 0:19 am,3664,MISC NON TAX /LOTTO $5,5,1,5.00,N
3704194,01/01/17, 0:20 am,8424,marlboro lig   men,283842,1,6.41,T
3704194,01/01/17, 0:20 am,3223,PRINGLES CHEESE,038000844980,1,2.50,N
3704194,01/01/17, 0:20 am,3689,misc non tax,1,1,4.00,N
3704194,01/01/17, 0:20 am,3665,lottMISC NON TAX /LOTTO,10,1,10.00,N
3704195,01/01/17, 0:22 am,17277,16.9 OZ COKE PLUS 5C CRV,049000024685,1,1.05,T
3704195,01/01/17, 0:22 am,7488,rock star,818094000147,1,2.99,1
3704195,01/01/17, 0:22 am,17383,JACK DANIELS,082184090503,1,11.99,T
3704195,01/01/17, 0:22 am,14302,REUSABLE BAG,56,1,0.23,T
3704196,01/01/17, 0:25 am,191,SKYY VODKA 375,721059003759,1,9.99,T
3704196,01/01/17, 0:25 am,14302,REUSABLE BAG,56,1,0.23,T
3704197,01/01/17, 0:31 am,7667,coffee 8oz,31,1,1.00,N
3704198,01/01/17, 0:31 am,8057,buchanans 18 years,088110955342,1,69.99,T
3704198,01/01/17, 0:31 am,12122,sparkling mineral water,654871000418,1,1.74,1
3704198,01/01/17, 0:31 am,12122,sparkling mineral water,654871000418,1,1.74,1
3704198,01/01/17, 0:31 am,17832,rockstar punched 2 for $3.00,818094003001,1,3.00,1
3704198,01/01/17, 0:31 am,14302,REUSABLE BAG,56,1,0.23,T
3704199,01/01/17, 0:34 am,14996,camel crush,012300197410,1,6.41,T
3704200,01/01/17, 0:37 am,6812,modelo 12 pac,080660957579,1,16.49,3
3704200,01/01/17, 0:37 am,2092,SUTTERHOME CHARDONNAY,850562,1,8.99,T
3704200,01/01/17, 0:37 am,14302,REUSABLE BAG,56,1,0.23,T
3704201,01/01/17, 0:38 am,1585,starburst fru chews,400510,1,1.00,N
3704201,01/01/17, 0:38 am,15471,SWISHER SWEETS,025900227265,1,1.00,T
3704201,01/01/17, 0:38 am,3672,lotto/ MISC NON TAX,3,1,1.00,N
3704201,01/01/17, 0:38 am,3672,lotto/ MISC NON TAX,3,1,1.00,N
3704202,01/01/17, 0:45 am,9527,americanspritnatural,047995855253,1,7.23,T
3704202,01/01/17, 0:45 am,10947,jameson,080432500149,1,15.99,T
3704202,01/01/17, 0:45 am,8424,marlboro lig   men,283842,1,6.41,T
3704202,01/01/17, 0:45 am,2081,BRUT CHANDON,085155000013,1,17.99,T
3704203,01/01/17, 0:48 am,16514,HEMP2O,865324000118,1,3.00,N
3704203,01/01/17, 0:48 am,16514,HEMP2O,865324000118,1,3.00,N
3704203,01/01/17, 0:48 am,15654,AXE SPRAY,079400553003,1,5.99,T
3704204,01/01/17, 0:51 am,703,Corona 12oz LN btls 12pk,080660956152,1,16.49,3
3704205,01/01/17, 0:51 am,3665,lottMISC NON TAX /LOTTO,10,1,10.00,N
3704206,01/01/17, 0:53 am,3689,misc non tax,1,1,2.00,N
3704207,01/01/17, 0:54 am,10873,corona 18pk,080660956800,1,23.99,5
3704207,01/01/17, 0:54 am,8439,marlboro,284012,1,6.41,T
3704208,01/01/17, 0:57 am,5689,canada dry 6pack,781140,1,2.99,2
3704208,01/01/17, 0:57 am,9119,pall mall,278512,0,6.19,T
3704208,01/01/17, 0:57 am,8424,marlboro lig   men,283842,1,6.41,T
3704209,01/01/17, 0:58 am,16297,modelo 24pack,080660957760,1,29.99,4
3704210,01/01/17, 0:58 am,3689,misc non tax,1,1,4.00,N
3704211,01/01/17, 1:03 am,13800,CHIPS,149,1,1.49,N
3704211,01/01/17, 1:03 am,3689,misc non tax,1,1,4.29,N
3704211,01/01/17, 1:03 am,0,,052000010381,1,4.00,
3704211,01/01/17, 1:03 am,13800,CHIPS,149,1,1.49,N
3704211,01/01/17, 1:03 am,14754,cup cakes,888109010010,1,1.75,N
3704212,01/01/17, 6:28 am,8713,camel lights,123073,1,6.41,T
3704213,01/01/17, 6:46 am,17386,JOSE CUERVO,811538010948,1,1.59,T
3704213,01/01/17, 6:46 am,17386,JOSE CUERVO,811538010948,1,1.59,T
3704213,01/01/17, 6:46 am,3672,lotto/ MISC NON TAX,3,1,1.00,N
3704213,01/01/17, 6:46 am,3672,lotto/ MISC NON TAX,3,1,1.00,N
3764451,01/01/17, 6:51 am,12530,taxable item,2,1,0.00,T
3764451,01/01/17, 6:51 am,16172,news papper,768805151005,1,1.50,T
3704214,01/01/17, 6:51 am,17164,hostess,888109050054,1,1.75,N
3704214,01/01/17, 6:51 am,17641,ALPO,011132896324,1,1.69,T
3704214,01/01/17, 6:51 am,17628,STARBUCKS COFFEE 9.5 OZ,123550,1,2.25,N
3704214,01/01/17, 6:51 am,17628,STARBUCKS COFFEE 9.5 OZ,123550,1,2.25,N
3704214,01/01/17, 6:51 am,17253,TITOS 200 ML,619947000044,1,8.99,T
3764452,01/01/17, 6:51 am,12530,taxable item,2,-1,1200.00,T
3704215,01/01/17, 7:08 am,13050,libi xtreme,705105830735,0,8.99,T
3704215,01/01/17, 7:08 am,17491,RED BULL 8.4 OZ 2 FOR 4.00,611269991000,1,4.00,1
3704215,01/01/17, 7:08 am,14755,hosstes,888109050023,1,1.75,N
3704215,01/01/17, 7:08 am,14755,hosstes,888109050023,1,1.75,N
3704215,01/01/17, 7:08 am,12530,taxable item,2,1,3.00,T
3704216,01/01/17, 7:33 am,12923,sutter 4 pk,085200718740,1,5.49,T
3704216,01/01/17, 7:33 am,2912,San Francisco Chronicle,738805300017,1,3.00,T
3704216,01/01/17, 7:33 am,3689,misc non tax,1,1,2.00,N
3704216,01/01/17, 7:33 am,14302,REUSABLE BAG,56,1,0.23,T
3704217,01/01/17, 7:40 am,16387,MONSTER UNLEADED,070847020608,1,3.00,1
3704217,01/01/17, 7:40 am,7667,coffee 8oz,31,1,1.00,N
